# random QPEC   s p a r s e   data from matlab

param n := 500  ;
param m := 300  ;
param p := 300  ;

param:	 	A :=
	10     1      	  -3.166346001981919
	80     1      	 -0.3795724568793424
	173    1      	   2.966758090521562
	234    1      	-0.07872480343967903
	243    1      	   2.804891574571324
	246    1      	  -3.606717113222329
	249    1      	  -3.772778630150845
	132    2      	   2.966897315795952
	145    2      	   2.857265009943985
	239    2      	  -3.408824994884815
	7      3      	  -3.504057015992728
	76     3      	  -3.787270229210737
	132    3      	  0.6431865825518903
	149    3      	   1.163611079176706
	209    3      	  -2.761890753527121
	261    3      	  -2.628244406836221
	19     4      	 0.02019686811612775
	33     4      	   2.050640313909687
	55     4      	   2.279391038361653
	158    4      	   1.649535777815402
	178    4      	  -3.335854343760691
	194    4      	   2.747721999300515
	195    4      	  -2.819829772608275
	219    4      	  -2.568280390728396
	176    5      	  -3.469561673453805
	215    5      	  -3.955915424952244
	219    5      	   2.911473027854912
	299    5      	  -3.530534423669118
	39     6      	   3.753795053695233
	49     6      	-0.08154447566789802
	87     6      	  0.5219623430268667
	286    6      	    3.03645565688445
	287    6      	  0.7952329352475855
	17     7      	  -1.871570940069654
	51     7      	 0.05971824939349624
	69     7      	  -2.712604291137589
	156    7      	 -0.2483526897841846
	276    7      	 -0.7375401206023713
	25     8      	 -0.1702728216397915
	63     8      	  -2.541766069150421
	115    8      	  -1.551737176976975
	189    8      	 -0.2355731410140045
	267    8      	 -0.6365937947466009
	34     9      	  -1.498980707255649
	45     9      	  0.3757369911185169
	58     9      	   3.950734745688147
	76     9      	   3.349257655138736
	247    9      	   1.553187585227745
	34     10     	  -1.368746845689019
	46     10     	   3.498140018199636
	83     10     	   2.800502519496019
	84     10     	 -0.5754835738686301
	204    10     	    3.16043053155785
	216    10     	  -3.560372195933188
	223    10     	   1.093424218284629
	236    10     	  0.6641561224424075
	166    11     	  -2.807407356243305
	258    11     	   1.790107092722369
	179    12     	  -3.931636922029609
	236    12     	   2.471949889544375
	293    12     	  0.6407838187370372
	47     13     	   1.130172765408723
	104    13     	    3.81962355962937
	202    13     	 -0.4134301154005482
	255    13     	 -0.2811354008881075
	267    13     	  -3.231908306121784
	107    14     	   3.052733450686901
	131    14     	  0.6777123793390167
	202    14     	   3.480050462987298
	258    14     	  -1.670092615145302
	55     15     	  -2.274818255694033
	85     16     	   3.030692863758045
	123    16     	  -2.321950777583733
	245    16     	    1.71462048111233
	248    16     	   2.219780034487965
	18     17     	   2.821261461275286
	32     17     	 -0.1941424217979155
	113    17     	  -3.008774466351035
	123    17     	  -1.026718849794343
	177    17     	   -0.65762143426464
	202    17     	   1.208131427507909
	264    17     	   2.261018990660561
	7      18     	   3.313732210227164
	59     18     	   3.132128640605196
	141    18     	   3.364816087933638
	204    18     	  -2.644056107217472
	215    18     	  0.9294528276331038
	284    18     	  0.2948633936675558
	291    18     	  -2.380549877127889
	65     19     	   2.175937379792304
	108    19     	 -0.9904573173217743
	126    19     	-0.04573091680450858
	203    19     	  -1.278125664814434
	259    19     	   3.660698395064426
	39     20     	    2.03346745578268
	126    20     	 -0.5995187333782757
	208    20     	    2.76531935798252
	221    20     	  -1.937491255783239
	235    20     	  -3.814913447860123
	30     21     	   3.805941883384223
	164    21     	   2.260533913159992
	200    21     	   1.012991006026506
	211    21     	   0.615543099406894
	78     22     	  -2.006228013898352
	203    22     	  -1.458048536189855
	244    22     	   0.683607625162046
	284    22     	   3.769057370614753
	288    22     	  -3.523043293283807
	30     23     	  -1.534765961363337
	45     23     	   3.011609728919161
	49     23     	  -2.518002550358885
	66     23     	  -1.587991158286105
	75     23     	  -3.724152918776568
	139    23     	   2.470613855156402
	201    23     	   3.789026848873601
	297    23     	   3.980062466105475
	114    24     	   -3.12899826426478
	119    24     	 0.08748396303853223
	128    24     	  -1.423148336551687
	139    24     	   3.607063613649022
	181    24     	  -2.207418236046759
	183    24     	 -0.3772310038922497
	187    24     	   3.130637194556481
	257    24     	  -2.996589704880765
	280    24     	   2.386393997066838
	150    25     	  -1.069464495903563
	206    25     	   1.220281823175159
	270    25     	  -1.846141359697162
	54     26     	  -2.037706243823146
	59     26     	   1.686062651540182
	158    26     	   3.747817743452181
	171    26     	   3.769161023092066
	28     27     	 -0.1714067255013654
	160    27     	  -3.327860917583043
	163    27     	   1.685910104627679
	244    27     	   1.393356098510957
	287    27     	  -2.520057293828604
	10     28     	  -0.777255310107607
	45     28     	  0.1247139443292813
	105    28     	 0.06736994351603531
	173    28     	  -1.696772604108217
	226    28     	  -2.775327961321607
	227    28     	   2.849344882578284
	268    28     	  0.4830809889748142
	22     29     	  -1.925651642459282
	63     29     	  0.5376757888764496
	73     29     	  -2.074202354100627
	75     29     	  0.1618941222140071
	168    29     	  -2.260680626267884
	193    29     	  -2.327585882659808
	196    29     	  -3.920997299217152
