# random QPEC   s p a r s e   data from matlab

param n := 1000 ;
param m := 1000 ;
param p := 1500 ;

param:	 	A :=
	90     1      	  -1.705152469549865
	93     1      	 -0.6396221800891784
	120    1      	 0.07533357482186176
	158    1      	  -1.458541801878503
	167    1      	  -2.460774540184426
	258    1      	   1.445360368790738
	272    1      	 -0.5816515146669241
	297    1      	  -3.916586704513331
	324    1      	  -1.485895390382919
	353    1      	    1.21673644204472
	404    1      	   2.132046005750096
	533    1      	 -0.8246147021765888
	625    1      	   1.210706381691018
	711    1      	 0.09188550156163267
	716    1      	 -0.6580394043857414
	765    1      	  -1.145454733234576
	840    1      	  0.1622624938200516
	845    1      	  -2.948137457924028
	849    1      	  -2.104205853354282
	860    1      	  -1.022017738326461
	867    1      	   1.612632161757272
	868    1      	  -3.706450052422681
	905    1      	  -3.194899148864159
	951    1      	  -1.095574444670032
	966    1      	  0.1088855360210337
	982    1      	  0.4245964272062279
	1061   1      	   3.572353310683907
	1112   1      	   2.420181102315048
	1299   1      	  -2.492683450920826
	1479   1      	  0.4501882402460033
	40     2      	  -3.875427931489157
	112    2      	  -2.415224037326511
	145    2      	  -1.243111419139016
	196    2      	   3.553628090561195
	259    2      	   3.721246037502422
	262    2      	   2.416034172482805
	278    2      	  -3.915279272904284
	305    2      	  -1.046472041423652
	386    2      	   3.736184731002983
	395    2      	  0.9495752663116788
	425    2      	   2.821777801412054
	622    2      	   1.473489763901331
	624    2      	 -0.4148754572565085
	657    2      	  -2.462658639281363
	770    2      	  -2.619985788417973
	781    2      	   1.579774088030576
	785    2      	   1.484261526486027
	860    2      	  -1.052128052828893
	1009   2      	   3.695595860339513
	1040   2      	 -0.9061835244792436
	1051   2      	   3.831736933361617
	1064   2      	  -2.555895696653005
	1089   2      	   2.304741281226622
	1120   2      	  -1.745177934758914
	1150   2      	  -1.826268284500701
	1184   2      	    2.64942778584055
	1248   2      	   3.624663378868561
	1249   2      	  -3.716723773496562
	1259   2      	   3.243771161531923
	1403   2      	   1.684097009563864
	1446   2      	   3.018722127666102
	1498   2      	     1.4747630830271
	44     3      	   -3.54262142607133
	79     3      	  -2.974025360762154
	92     3      	   2.597342285605772
	164    3      	   3.978855907907176
	375    3      	  -3.910106543409688
	440    3      	  -2.296427789282253
	601    3      	  -3.984647452824119
	749    3      	  -1.663528873428483
	784    3      	 -0.6857319794063139
	810    3      	    2.64783527266599
	826    3      	  -3.061924252222257
	865    3      	 -0.8756596356982644
	909    3      	  0.1656181794431149
	930    3      	  -1.122631015778813
	963    3      	  0.1596379187701444
