problem,LCQP,Small Rho0,Small and Slow,Small and Fast,Large Rho0,No Leyffer,No Zero Pen,OSQP,Sparse
bard1,0,4.885e-15,2.221e-15,9.77e-15,1.8392e-45,4.885e-15,4.885e-15,-,4.885e-15
bard1m,0,2.221e-15,9.8632e-32,4.885e-15,2.959e-31,0,0,1.3459e-11,2.221e-15
bard2,0,0,0,1.4801e-31,0,1.4801e-31,1.4801e-31,-2.113e-10,8.884e-16
bilevel2,6.663e-15,6.1553e-15,6.1553e-15,6.1553e-15,6.663e-15,8.1757e-15,8.1757e-15,-,2.9606e-14
bilevel2m,1.7764e-15,2.3685e-15,2.3685e-15,2.3685e-15,2.9856e-29,2.3685e-15,1.7764e-15,3.9774e-10,2.3685e-15
ex9_2_1,2.221e-15,4.442e-16,1.2216e-15,9.8608e-31,6.663e-16,1.2215e-15,1.2215e-15,-,1.2215e-15
ex9_2_2,-,-,-,-,-,-,-,-,-
ex9_2_4,4.442e-16,2.221e-16,4.442e-16,-2.2037e-16,4.442e-16,2.221e-16,2.221e-16,2.221e-16,2.221e-16
ex9_2_5,4.442e-16,4.442e-16,0,1.9989e-15,1.9989e-15,-,1.9989e-15,1.9989e-15,1.9989e-15
ex9_2_6,2.221e-16,2.1922e-16,2.221e-16,0,2.221e-16,3.3722e-32,3.3722e-32,-4.2713e-30,3.3722e-32
ex9_2_7,1.4791e-30,-1.095e-47,4.9328e-32,1.2215e-15,1.3326e-15,1.4791e-30,1.4791e-30,-,2.221e-15
flp2,0,0,0,0,0,0,0,4.568e-27,0
flp4_1,8.7951e-16,8.6903e-16,8.6903e-16,8.6903e-16,8.6903e-16,8.7951e-16,8.7951e-16,1.3971e-44,7.7834e-16
flp4_2,8.8662e-16,8.8662e-16,8.8662e-16,8.8662e-16,8.8662e-16,8.8662e-16,8.6046e-16,1.4746e-44,8.8662e-16
flp4_3,8.6592e-16,8.6592e-16,8.8127e-16,8.6299e-16,8.6299e-16,8.8736e-16,8.6299e-16,1.3368e-44,8.5074e-16
flp4_4,8.0602e-16,8.6356e-16,8.3515e-16,8.7343e-16,8.707e-16,8.7343e-16,8.7343e-16,1.4231e-44,8.7343e-16
gauvin,8.884e-16,8.884e-16,8.884e-16,-8.884e-16,-,8.884e-16,3.1094e-15,-7.4033e-16,3.1094e-15
hs044_i,7.025e-16,5.5658e-16,7.025e-16,1.199e-15,9.5923e-16,1.1765e-15,1.1765e-15,2.8245e-12,1.1765e-15
jr1,2.2204e-16,2.2204e-16,-1.1102e-16,-1.1102e-16,-1.1102e-16,-1.1102e-16,-1.1102e-16,-1.1102e-16,-1.1102e-16
jr2,-1.1102e-16,-1.1102e-16,2.7756e-16,0,2.2204e-16,1.1102e-16,0,0,0
kth2,0,0,0,0,-2.221e-16,-2.221e-16,-2.221e-16,-2.221e-16,-2.221e-16
kth3,2.221e-16,2.221e-16,1.034e-25,0,-2.221e-16,0,-2.221e-16,-2.221e-16,-2.221e-16
liswet1_050,3.3938e-14,3.3938e-14,3.3938e-14,3.3938e-14,8.9465e-15,3.7931e-14,3.3938e-14,1.0973e-10,3.4937e-14
liswet1_100,3.1451e-14,2.2026e-14,2.9012e-14,2.7568e-14,-,2.5311e-14,4.0346e-14,-,2.9272e-14
liswet1_200,1.4861e-13,1.519e-13,1.3645e-13,1.238e-13,-,1.2476e-13,1.0808e-13,-,1.0357e-13
nash1a,2.221e-16,2.221e-16,2.221e-16,2.221e-16,2.221e-16,2.221e-16,2.221e-16,-7.2241e-29,2.221e-16
nash1b,2.221e-16,2.221e-16,2.221e-16,2.221e-16,2.221e-16,2.221e-16,0,-2.3199e-14,0
nash1c,0,0,0,0,0,0,0,0,0
nash1d,0,0,0,0,0,0,2.221e-16,1.9228e-14,2.221e-16
nash1e,2.221e-16,2.221e-16,2.221e-16,-2.221e-16,-2.221e-16,-2.221e-16,-2.221e-16,1.5466e-14,-2.221e-16
portfl1,5.9477e-20,5.7183e-17,1.7219e-17,4.2722e-17,1.7219e-17,1.2777e-17,4.2722e-17,4.5057e-14,3.9135e-18
portfl2,1.4663e-17,6.3463e-19,4.4199e-19,4.5736e-17,3.225e-18,3.6901e-19,9.4619e-17,1.53e-17,4.5736e-17
portfl3,3.1296e-18,5.4823e-17,8.5896e-17,8.5896e-17,8.5896e-17,8.5896e-17,8.5896e-17,8.5799e-17,8.5896e-17
portfl4,7.2644e-17,7.2542e-17,3.706e-17,7.2491e-17,1.9295e-17,0,2.8439e-18,2.3315e-16,7.2626e-17
portfl6,6.5876e-17,4.3746e-17,4.3746e-17,1.2613e-17,6.5876e-17,6.5876e-17,5.9214e-17,1.8339e-13,5.9213e-17
qpec1,2.221e-16,2.221e-16,2.221e-16,2.221e-16,2.221e-16,2.221e-16,2.221e-16,2.221e-16,2.221e-16
qpec2,-,-,-,-,-,-,-,-,-
scholtes3,2.221e-16,0,-2.221e-16,-2.221e-16,2.221e-16,2.221e-16,2.2123e-16,2.221e-16,2.2253e-16
sl1,2.2188e-17,1.7852e-17,1.7852e-17,1.7852e-17,5.5395e-21,3.5705e-17,3.5705e-17,5.3291e-17,0
