problem,best known,LCQP,Small Rho0,Small and Slow,Small and Fast,Large Rho0,No Leyffer,No Zero Pen,OSQP,Sparse
bard1,17,25,25,25,25,25,25,25,-,25
bard1m,17,25,25,25,25,25,25,25,4.3211e-25,25
bard2,6598,6598,6598,6598,6598,6598,6598,6598,6600,6598
bilevel2,-6600,-6600,-6600,-6600,-6600,-6600,-6600,-6600,-,-6600
bilevel2m,-6600,-6600,-6600,-6600,-6600,-6600,-6600,-6600,-6600,-6600
ex9_2_1,17,25,25,25,25,17,25,25,-,25
ex9_2_2,100,-,-,-,-,-,-,-,-,-
ex9_2_4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ex9_2_5,5,9,9,9,9,9,-,9,9,9
ex9_2_6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ex9_2_7,17,25,25,25,25,17,25,25,-,25
flp2,0,5.0487e-29,5.0487e-29,5.0487e-29,5.0487e-29,5.0487e-29,5.0487e-29,5.0487e-29,2.0195e-28,5.0487e-29
flp4_1,0,8.8788e-31,8.884e-16,8.884e-16,-1.1105e-15,-1.1105e-15,1.3326e-15,1.3326e-15,-9.6726e-23,6.663e-16
flp4_2,0,-2.223e-16,-2.223e-16,6.661e-16,-4.444e-16,-4.444e-16,1.1103e-15,-4.444e-16,-1.6168e-22,1.9987e-15
flp4_3,0,-2.2209e-16,-2.2209e-16,-1.3326e-15,-1.3326e-15,-1.3326e-15,-1.3326e-15,1.5547e-15,5.4728e-23,1.1699e-20
flp4_4,0,2.4429e-15,1.3324e-15,8.8818e-16,-1.777e-15,-6.6652e-16,6.6608e-16,-1.1107e-15,6.3859e-23,8.8818e-16
gauvin,20,20,20,20,20,-,20,20,1.2657e-29,20
hs044_i,15.6178,15.6105,15.6105,15.6105,15.6105,15.6105,15.6105,15.6105,1.0529e-21,15.6105
jr1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
jr2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
kth2,0,1.2326e-32,1.2326e-32,1.2326e-32,1.2326e-32,-2.221e-16,-2.221e-16,-2.221e-16,-2.221e-16,-2.221e-16
kth3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
liswet1_050,0.01399,0.013994,0.013994,0.013994,0.013994,0.013994,0.013994,0.013994,0.0075987,0.013994
liswet1_100,0.01373,0.013734,0.013734,0.013734,0.013734,-,0.013734,0.013734,-,0.013734
liswet1_200,0.01701,0.017009,0.017009,0.017009,0.017009,-,0.017009,0.017009,-,0.017009
nash1a,7.8886e-30,1.9722e-30,1.9722e-30,1.9722e-30,1.9722e-30,3.9443e-31,1.9722e-30,1.9722e-30,3.9443e-31,1.5777e-30
nash1b,7.8886e-30,1.9722e-30,1.9722e-30,1.9722e-30,1.9722e-30,3.9443e-31,1.9722e-30,1.9722e-30,0,1.5777e-30
nash1c,7.8886e-30,1.9722e-30,1.9722e-30,1.9722e-30,1.9722e-30,4.6148e-29,1.9722e-30,1.9722e-30,3.9443e-31,1.5777e-30
nash1d,7.8886e-30,1.9722e-30,1.9722e-30,1.9722e-30,1.9722e-30,4.6148e-29,1.9722e-30,1.9722e-30,3.9443e-31,1.5777e-30
nash1e,7.8886e-30,1.9722e-30,1.9722e-30,1.9722e-30,1.9722e-30,1.913e-28,1.9722e-30,1.9722e-30,3.9443e-31,1.5777e-30
portfl1,1.502e-05,0.0023902,0.0023902,0.0023902,0.0023902,0.0023902,0.0023902,0.0023902,0.00093927,0.0023902
portfl2,1.457e-05,0.0061488,0.0061488,0.0061488,0.0061488,0.0061488,0.0061488,0.0061488,0.0032541,0.0061488
portfl3,6.265e-06,0.0045258,0.0045258,0.0045258,0.0045258,0.0045258,0.0045258,0.0045258,0.0026509,0.0045258
portfl4,2.177e-06,0.0066596,0.0066596,0.0066596,0.0066596,0.0066596,0.0066596,0.0066596,0.0044383,0.0066596
portfl6,2.361e-06,0.0044148,0.0044148,0.0044148,0.0044148,0.0044148,0.0044148,0.0044148,0.002237,0.0044148
qpec1,80,80,80,80,80,80,80,80,80,80
qpec2,45,-,-,-,-,-,-,-,-,-
scholtes3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
sl1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.2331e-23,0.0001
