problem,LCQP,IPOPT,MIQP,SNOPT,MINOS
bard1,-1.9726e-31,-3.4746e-15,0,72,72
bard1m,0,-1.9203e-15,0,72,72
bard2,0,-1.7764e-14,0,0,1.4211e-14
bilevel2,6.501e-15,-7.3816e-11,3.8065e-15,17.7778,17.7778
bilevel2m,6.663e-15,-1.1888e-11,3.8065e-15,17.7778,17.7778
ex9_2_1,1.2215e-15,-3.0849e-15,0,72,72
ex9_2_2,-,-,1.7053e-11,300,300
ex9_2_4,0,1.351e-16,0,4,4
ex9_2_5,4.442e-16,0,0,30,30
ex9_2_6,0,9.8448e-16,0,1,1
ex9_2_7,2.221e-15,-3.0849e-15,0,72,72
flp2,2.7762e-16,1.2434e-14,5.3291e-15,0,0
flp4_1,8.6903e-16,-9.6339e-15,0,0,-
flp4_2,8.071e-16,-2.1983e-14,0,0,-
flp4_3,8.691e-16,-2.774e-14,0,0,-
flp4_4,7.6115e-16,-3.3035e-14,0,0,-
gauvin,3.1094e-15,5.4039e-16,0,400,400
hs044_i,1.1765e-15,-1.5438e-15,-,0.67572,0.67572
jr1,0,-8.3267e-17,0,0,0
jr2,-1.9429e-16,-5.5511e-17,0,1,1
kth2,2.221e-16,-1.7205e-16,0,0,0
kth3,0,-4.3474e-17,0,1,1
liswet1_050,3.5935e-14,-1.0042e-13,2.6781e-14,7.2174e-13,7.9505e-14
liswet1_100,2.5613e-14,-7.8133e-13,-8.5874e-15,-,-
liswet1_200,1.1139e-13,-6.0504e-12,-8.9487e-14,-,-
nash1a,2.221e-16,1.9556e-14,0,36.665,36.665
nash1b,2.221e-16,1.9556e-14,0,36.665,36.665
nash1c,0,1.9556e-14,0,36.665,36.665
nash1d,2.221e-16,1.9556e-14,0,36.665,36.665
nash1e,0,1.9556e-14,0,36.665,36.665
portfl1,8.8289e-17,6.6845e-17,0.00064391,0.0055447,0.0055447
portfl2,1.4663e-17,1.5576e-17,0.00054284,0.0097071,0.0097071
portfl3,5.4802e-17,8.5828e-17,0,0.0080366,0.0080366
portfl4,7.2599e-17,7.799e-17,0.00041855,0.010237,0.010237
portfl6,5.9213e-17,2.6359e-17,0.00068446,0.0057994,0.0057995
qpec1,2.221e-16,0,0,0,0
qpec2,-,-,0,4,4
scholtes3,-2.221e-16,0,0,1,1
sl1,0,1.756e-14,0,1.7852e-17,0
