problem,best_o,LCQP_t,LCQP_o,MIQP_t,MIQP_o
bard1,17,0.30206,25,0.011039,17
bard1m,17,0.00034888,25,0.0031209,17
bard2,6598,0.0003664,6598,0.0077338,6598
bilevel2,-6600,0.00068741,-6600,0.003233,-6600
bilevel2m,-6600,0.00045662,-6600,0.003016,-6600
ex9_2_1,17,0.00049081,25,0.003885,17
ex9_2_2,100,0.0011558,99.9492,0.002496,100
ex9_2_4,0.5,0.00045635,0.5,0.0011191,4
ex9_2_5,5,0.00072473,9,0.0032089,5
ex9_2_6,-1,0.00050102,-1,0.0034239,-1
ex9_2_7,17,0.00039955,25,0.0033979,17
flp2,0,0.00017669,5.0487e-29,0.002172,2.2877e-28
flp4_1,0,0.036823,7.3309e-27,0.0049322,0
flp4_2,0,0.029045,0,0.0083401,0
flp4_3,0,0.012584,6.8142e-28,0.01482,0
flp4_4,0,0.020333,6.9929e-27,0.030113,0
gauvin,20,0.00030928,20,0.0025351,20
hs044_i,15.6178,0.00087973,15.6105,0.00096011,Inf
jr1,0.5,0.00010449,0.5,0.003526,0.5
jr2,0.5,0.00035744,0.5,0.00384,0.5
kth2,0,0.00011842,2.221e-16,0.0010159,0
kth3,0.5,0.00038588,0.5,0.0024579,0.5
liswet1_050,0.01399,0.073606,0.0075987,0.01635,0.013994
liswet1_100,0.01373,0.54268,0.0070043,0.011074,0.013734
liswet1_200,0.01701,5.0691,0.0085893,0.017935,0.017009
nash1a,7.8886e-30,0.00015522,1.9722e-30,0.0023439,0
nash1b,7.8886e-30,0.00012569,1.9722e-30,0.0024149,0
nash1c,7.8886e-30,0.00013944,1.9722e-30,0.0023401,0
nash1d,7.8886e-30,0.00014116,1.9722e-30,0.002317,0
nash1e,7.8886e-30,0.00014114,1.9722e-30,0.002202,0
portfl1,1.502e-05,0.011293,0.00093927,0.005527,0.018642
portfl2,1.457e-05,0.012148,0.0032541,0.0060849,0.027015
portfl3,6.265e-06,0.011816,0.0026509,0.0047221,0.0087748
portfl4,2.177e-06,0.010339,0.0044383,0.0059121,0.017415
portfl6,2.361e-06,0.011405,0.002237,0.004894,0.022383
qpec1,80,0.0005154,80,0.0023921,90
qpec2,45,0.0068384,44.9847,0.0046082,45
scholtes3,0.5,0.00047515,0.5,0.0032568,0.5
sl1,0.0001,0.00016659,0.0001,0.002394,0.00010404
