problem,LCQPow qpOASES,LCQPow OSQP,Gurobi,IPOPT Pen,SNOPT,MINOS
bard1,2.221e-15,-,0,-3.4746e-15,72,72
bard1m,2.221e-15,-1.0081e-26,0,-1.9203e-15,72,72
bard2,8.884e-16,8.8842e-16,0,-1.7764e-14,0,1.4211e-14
bilevel2,8.1757e-15,8.4614e-11,3.8065e-15,-7.3816e-11,17.7778,17.7778
bilevel2m,1.7764e-15,4.3085e-12,3.8065e-15,-1.1888e-11,17.7778,17.7778
ex9_2_1,4.442e-16,-,0,-3.0849e-15,72,72
ex9_2_2,-,-,1.7053e-11,-,300,300
ex9_2_4,0,2.3212e-23,0,1.351e-16,4,4
ex9_2_5,1.9989e-15,2.221e-16,0,0,30,30
ex9_2_6,0,1.5715e-16,0,9.8448e-16,1,1
ex9_2_7,2.221e-15,-,0,-3.0849e-15,72,72
flp2,1.4807e-16,5.4008e-17,5.3291e-15,1.2434e-14,0,0
flp4_1,8.6903e-16,1.3971e-44,0,-9.6339e-15,0,-
flp4_2,8.6046e-16,1.4746e-44,0,-2.1983e-14,0,-
flp4_3,8.8828e-16,1.3368e-44,0,-2.774e-14,0,-
flp4_4,8.7343e-16,1.4231e-44,0,-3.3035e-14,0,-
gauvin,8.884e-16,8.884e-16,0,5.4039e-16,400,400
hs044_i,1.1765e-15,-,-,-1.5438e-15,0.67572,0.67572
jr1,0,0,0,-8.3267e-17,0,0
jr2,1.1102e-16,1.3878e-16,0,-5.5511e-17,1,1
kth2,-2.221e-16,-2.221e-16,0,-1.7205e-16,0,0
kth3,2.221e-16,6.4005e-26,0,-4.3474e-17,1,1
liswet1_050,3.1942e-14,2.1862e-10,2.6781e-14,-1.0042e-13,7.2174e-13,7.9505e-14
liswet1_100,3.9676e-14,-,-8.5874e-15,-7.8133e-13,-,-
liswet1_200,1.3809e-13,-,-8.9487e-14,-6.0504e-12,-,-
nash1a,2.221e-16,-,0,1.9556e-14,36.665,36.665
nash1b,2.221e-16,1.1837e-30,0,1.9556e-14,36.665,36.665
nash1c,-2.221e-16,3.5527e-15,0,1.9556e-14,36.665,36.665
nash1d,2.221e-16,2.2209e-16,0,1.9556e-14,36.665,36.665
nash1e,2.221e-16,2.2212e-16,0,1.9556e-14,36.665,36.665
portfl1,4.2722e-17,4.488e-14,0.00064391,6.6845e-17,0.0055447,0.0055447
portfl2,3.6873e-17,3.0357e-17,0.00054284,1.5576e-17,0.0097071,0.0097071
portfl3,1.4976e-18,8.5799e-17,0,8.5828e-17,0.0080366,0.0080366
portfl4,1.9295e-17,2.3315e-16,0.00041855,7.799e-17,0.010237,0.010237
portfl6,5.9214e-17,1.8333e-13,0.00068446,2.6359e-17,0.0057994,0.0057995
qpec1,2.221e-16,2.221e-16,0,0,0,0
qpec2,-,-,0,-,4,4
scholtes3,-2.221e-16,-2.221e-16,0,0,1,1
sl1,-4.9328e-32,1.8874e-17,0,1.756e-14,1.7852e-17,0
