problem,LCQPow qpOASES,LCQPow OSQP,Gurobi,IPOPT penalty,IPOPT smoothed,IPOPT relaxed,IPOPT NLP
bard1,1.4655e-14,-,0,-2.9237e-10,1e-07,1.001e-07,1.0543e-08
bard1m,1.954e-14,-,0,0,1e-07,1.001e-07,9.5934e-09
bard2,4.6481e-14,4.737e-14,0,1.606e-20,1e-06,1.6054e-20,1.606e-20
bilevel2,3.2973e-14,2.5914e-07,0,3.6187e-07,1e-07,6.6669e-07,4.4846e-09
bilevel2m,1.0733e-07,2.6881e-07,0,9.9967e-07,1e-07,6.665e-07,5.1165e-09
ex9_2_1,9.8608e-31,-,0,-2.2344e-10,1e-07,1.001e-07,1.0961e-08
ex9_2_2,2.891e-07,2.891e-07,0,2.891e-07,1e-07,1.001e-07,1.21e-08
ex9_2_4,4.442e-16,4.442e-16,0,1.0315e-10,1e-07,1.0009e-07,1.0136e-08
ex9_2_5,2.221e-16,1.9989e-15,0,0,1e-07,1.001e-07,1.1316e-08
ex9_2_6,2.221e-16,1.3264e-11,0,3.0517e-11,1e-07,1.0008e-07,5.0004e-09
ex9_2_7,7.3956e-31,-,0,-2.2344e-10,1e-07,1.001e-07,1.0961e-08
flp2,3.5527e-15,5.3291e-15,-1.7764e-15,5.0003e-07,1e-06,7.1781e-07,5.0303e-09
flp4_1,7.576e-16,7.576e-16,0,-1.2219e-12,1e-07,-1.2219e-12,-1.2219e-12
flp4_2,7.8465e-16,8.8662e-16,0,-5.7825e-12,1e-07,-5.7825e-12,-5.7825e-12
flp4_3,8.8127e-16,8.8127e-16,0,-4.8363e-13,1e-07,-4.857e-13,-4.8361e-13
flp4_4,8.4776e-16,8.7343e-16,0,-6.0439e-12,1e-07,-6.0439e-12,-6.0439e-12
gauvin,-8.884e-16,3.1094e-15,0,0,1e-07,9.9989e-07,1.1422e-08
hs044_i,1.9999e-15,-,2.5595e-09,2.6655e-07,1e-07,6.6668e-07,1.2131e-08
jr1,0,0,0,-4.4257e-11,1e-06,-4.5e-11,-1.8024e-11
jr2,1.1102e-16,1.3878e-16,0,-3.3906e-11,1e-06,1.0009e-07,1.0095e-08
kth2,-2.221e-16,-2.221e-16,0,-9e-11,1e-07,-9e-11,-8.72e-11
kth3,2.221e-16,2.221e-16,0,-6.5775e-11,1e-07,1.0004e-07,1.0086e-08
liswet1_050,5.5259e-15,4.9562e-09,6.8306e-15,-3.1907e-12,1e-06,-3.1981e-12,-3.1989e-12
liswet1_100,2.9992e-14,-,2.2423e-14,-3.2009e-12,1e-06,-3.1952e-12,-3.2052e-12
liswet1_200,1.087e-13,-,-0.0014412,-4.1761e-12,1e-06,-4.0512e-12,-4.1761e-12
nash1a,7.5547e-25,3.5527e-15,0,4.5664e-07,1e-07,5.0386e-07,4.02e-09
nash1b,7.5547e-25,7.1054e-15,0,4.2266e-07,1e-07,5.0386e-07,4.02e-09
nash1c,-7.5546e-25,3.5527e-15,0,4.1811e-07,1e-07,5.0386e-07,4.0356e-09
nash1d,0,3.5527e-15,0,4.5874e-07,1e-07,5.0386e-07,4.0201e-09
nash1e,7.5546e-25,7.8909e-31,0,4.6145e-07,1e-07,5.0386e-07,4.02e-09
portfl1,8.1762e-19,2.0441e-12,0,1.7465e-12,1e-07,1.001e-07,1.0134e-08
portfl2,2.1599e-20,8.3323e-13,0,9.39e-13,1e-07,1.001e-07,1.0185e-08
portfl3,6.3891e-19,3.936e-08,0,3.9357e-08,1e-07,1.001e-07,1.0178e-08
portfl4,3.7757e-17,4.3246e-12,0,1.5335e-12,1e-07,1.001e-07,1.0133e-08
portfl6,3.9978e-17,5.4984e-12,0,7.285e-13,1e-06,1.001e-07,1.0161e-08
qpec1,2.221e-16,2.221e-16,0,0,1e-07,0,0
qpec2,3.4688e-08,3.4688e-08,0,5.547e-07,1e-07,1.001e-07,1.16e-09
scholtes3,2.221e-16,2.221e-16,0,0,1e-07,1.0004e-07,1.01e-08
sl1,2.221e-17,3.3594e-10,-9.3725e-16,1.8904e-07,1e-07,1.9423e-07,4.9956e-09
