# random QPEC   s p a r s e   data from matlab

param n := 700  ;
param m := 700  ;
param p := 1000 ;

param:	 	A :=
	77     1      	 -0.3531815727954646
	142    1      	  -3.607798456963058
	144    1      	   1.884829233346893
	147    1      	  -3.939871266456261
	252    1      	   2.584154087390822
	267    1      	 -0.4210305420779767
	437    1      	 -0.4213261475885872
	488    1      	 -0.6580085589820559
	524    1      	  -1.083622197193849
	542    1      	   1.515991857981305
	586    1      	   2.296096767436758
	679    1      	  -2.719087167977862
	706    1      	  0.1213513967214856
	720    1      	  0.7958528794328927
	749    1      	   1.898601404344012
	766    1      	  -2.663622702780935
	807    1      	 -0.1694713217064141
	857    1      	 -0.1750643533538394
	899    1      	  -1.003552945798055
	128    2      	 -0.3600733896531505
	304    2      	   2.786669715673974
	352    2      	   -1.05483862248009
	435    2      	   3.161414425429616
	537    2      	  -3.541657391722155
	586    2      	  -1.501629690407603
	624    2      	 -0.0897752847940545
	640    2      	 -0.4042809104566838
	703    2      	   3.528615485657293
	839    2      	    2.44427367227351
	900    2      	 -0.3413266820559868
	960    2      	  -3.589861038881289
	994    2      	  -1.774020141816707
	17     3      	  -2.657761547089443
	21     3      	    1.41801705091168
	114    3      	   3.729985196017653
	115    3      	-0.08581200059773941
	130    3      	  -2.118624392020807
	157    3      	  0.3904790265441305
	264    3      	    2.66243530002536
	269    3      	  -3.356824747918558
	290    3      	  -1.583697921402612
	354    3      	   3.091654248112651
	491    3      	 -0.2199200597684459
	642    3      	   3.004772647751855
	648    3      	 -0.4598079195524605
	695    3      	  -1.195385559087333
	769    3      	   1.127841519717053
	814    3      	   2.448019641660163
	888    3      	 -0.2054086309882854
	39     4      	  -3.753061141703772
	189    4      	   2.631651412058459
	201    4      	   3.116708695477205
	205    4      	  -3.855496130816404
	326    4      	   1.826195544482299
	367    4      	  -1.328042226530631
	381    4      	  -2.235566302312336
	394    4      	   1.846845096837192
	497    4      	 -0.9674056828801545
	527    4      	   2.689145057783064
	552    4      	   3.725732985756236
	553    4      	   2.542285605586267
	599    4      	 -0.1751574185561191
	641    4      	  -3.121593076326695
	736    4      	  -1.724975000007532
	854    4      	  0.8629555613095663
	983    4      	  -1.217475528464409
	42     5      	  0.8526862323529487
	48     5      	   3.123666867205718
	108    5      	   1.612351785233408
	137    5      	  -3.528980798800001
	316    5      	  -3.387711923284322
	363    5      	   2.504369876582348
	539    5      	   3.739068955061524
	552    5      	   2.394291605052674
	602    5      	   3.555096380205404
	604    5      	  -2.695522933590935
	700    5      	 -0.4224525524407872
	795    5      	  -1.549953373870791
	820    5      	  -2.083298205436812
	829    5      	  -2.288332476414895
	848    5      	 0.07500808503246326
	8      6      	   2.783340431183269
	12     6      	   2.405428438636208
	133    6      	  0.8543139681472978
	137    6      	  0.4197145683782706
	159    6      	   3.766097813735762
	241    6      	   1.572223129483044
	245    6      	   1.631525910287874
	288    6      	   -2.19135812213242
	416    6      	   -1.25707575178569
	450    6      	   2.921066298578431
	489    6      	  -1.080864253025904
	524    6      	   3.561731762979986
	532    6      	 -0.2712530699890352
	544    6      	  -2.532405714752342
	591    6      	    -0.9587085493648
	592    6      	   1.310698146610846
	618    6      	   -3.80174234500236
	675    6      	  -2.576680082165022
	679    6      	  -3.698032203921132
	733    6      	  -1.247355124562679
	768    6      	  -1.423106877795936
	812    6      	  0.2358866465445084
	860    6      	   2.678854844849023
	899    6      	  -2.714360027906653
	926    6      	   -3.82503026343185
	959    6      	  -3.632328357376311
	966    6      	  -1.805215514174297
	38     7      	  0.2482515518778241
	41     7      	  -1.077272790054452
	46     7      	  -1.394254243650592
	57     7      	  -1.852658699198001
	61     7      	   1.117509281783136
	86     7      	 -0.3002298270818917
	114    7      	    1.86118946869913
	135    7      	  -1.988630427973638
	146    7      	   3.726909931621938
	175    7      	0.002952339129034698
	267    7      	   3.739679295448437
	310    7      	   1.683312578910642
	340    7      	  0.2740042192274723
	348    7      	   1.124255708010987
	421    7      	  0.5564441255090964
	422    7      	  -3.940769527079896
	552    7      	  0.8590061202920074
	572    7      	  -3.499782081460479
	777    7      	  -2.410550045972015
	830    7      	 -0.7890224106558703
	870    7      	   1.697133968443207
	872    7      	   1.360853294544319
	933    7      	 -0.3401195650641431
	950    7      	  0.2545001750134395
	25     8      	     3.9165580272286
	223    8      	  -1.745073373310768
	242    8      	  -3.425081643939522
	287    8      	  -2.836444794589861
	404    8      	  -1.705284128759654
	465    8      	-0.05277312363161402
	592    8      	  -3.096249911513296
	766    8      	  0.4932343608202574
	767    8      	 -0.1947184969646476
	818    8      	  -2.089428420220235
	931    8      	   3.648746840492239
	996    8      	  0.6874669104290509
	68     9      	  0.4544334953904308
	72     9      	  0.6447551942638841
	80     9      	   -2.89187553845899
	121    9      	  -2.659956670673544
	183    9      	   2.754223599449835
	206    9      	  -2.407875946912857
	232    9      	  -2.772601421350894
	299    9      	  -2.322498119586379
	424    9      	   3.060515149990336
	460    9      	  -1.712730097450656
	476    9      	  -2.536721307102927
	502    9      	  -2.209963741810044
	526    9      	   3.677650917171338
	564    9      	   2.729449193333019
	578    9      	   3.402258217056402
	635    9      	   2.977941471607397
	780    9      	   3.597990732452828
	875    9      	  0.3216568773247568
	899    9      	   3.751010972890542
	920    9      	  -1.940090133780656
	936    9      	   3.087319071910958
	994    9      	 0.04347648659882886
	4      10     	  -2.156848563885712
	8      10     	   3.602626897209616
	71     10     	  -1.413276734488679
	122    10     	   -1.94944459476948
	255    10     	  0.4273180386178748
	427    10     	  -2.270943376361831
	497    10     	  -3.187312166759424
	561    10     	   2.982454176518346
	603    10     	  -1.265541626729789
	643    10     	 -0.8478486113473069
	672    10     	  -3.647965527906998
	766    10     	   1.789902306063986
	791    10     	   -3.30160001632832
	806    10     	   2.243199332730471
	823    10     	  -1.191866363022414
	851    10     	  -1.118174450992688
	852    10     	 -0.2838530783931974
	882    10     	  -2.069864473338176
	891    10     	   1.427731646889696
	972    10     	   3.049125425074774
	2      11     	  -2.956504560521108
	25     11     	   1.590763631086221
	172    11     	   3.940674744518788
	284    11     	   0.993241204411369
	325    11     	  0.4895123748525565
	335    11     	  -1.180545798121274
	337    11     	  -3.564866687899859
	343    11     	  -1.881316321846711
	358    11     	   2.823189321357379
	421    11     	   0.156417431382657
	435    11     	  -2.107751804454137
	471    11     	 0.02000008710660062
	502    11     	   1.139391398587912
	533    11     	  -2.683800748867821
	582    11     	  -1.710143475658327
	662    11     	  -3.919463198594499
	666    11     	   3.513653956127192
	761    11     	  -3.514461781603499
	794    11     	 -0.8617824077893896
	835    11     	0.003028044478515568
	860    11     	 -0.4866226224632109
	868    11     	    3.27866403724936
	877    11     	   2.326845835115223
	979    11     	  -1.157860691267001
	989    11     	0.0001610014588386832
	11     12     	   2.086213569196972
	58     12     	   -3.26014422218322
	80     12     	  -3.752174880240194
	289    12     	-0.05744971523873943
	359    12     	  0.4576701654389828
	369    12     	  -2.695315189052054
	372    12     	  -1.062545819702812
	375    12     	  -3.964204341156504
	379    12     	   3.712665110692692
	496    12     	  0.4926809428691312
	527    12     	  -3.539013840043458
	625    12     	   3.465356118728107
	696    12     	  -2.553846366030093
	700    12     	   3.839951127693034
	868    12     	  0.5064740499977365
	881    12     	  0.2624446508765432
	71     13     	 -0.9420765512353166
	103    13     	  -1.760262074768665
	151    13     	   1.544173179913392
	304    13     	   3.557911332490812
	392    13     	  -2.515067062580524
	453    13     	 0.05236439595574716
	462    13     	  -3.839081693365742
	505    13     	   2.084170709403312
	556    13     	  0.5171698613637918
	562    13     	  0.5461909941147036
	723    13     	  -3.042189254910773
	775    13     	   2.498263507382136
	786    13     	   3.784380484271971
	922    13     	   3.369122557048278
	969    13     	 -0.4783601260177606
	996    13     	   2.256363581054082
	87     14     	   1.915369938088287
	112    14     	   2.916044432165122
	159    14     	  0.8059554569450933
